Date,value,btc_volatility
2022-05-02,27.0,0.1431514903278105
2022-05-03,26.0,0.1428097594685396
2022-05-04,26.0,0.1436933599003314
2022-05-06,33.0,0.17123854536992186
2022-05-09,57.0,0.16682239921030123
2022-05-10,57.0,0.2061718716699283
2022-05-11,67.0,0.20738944964631575
2022-05-12,100.0,0.20899233085116886
2022-05-13,74.0,0.2084244401162018
2022-05-16,47.0,0.20999430257638074
2022-05-17,43.0,0.21519872148459407
2022-05-18,43.0,0.21537380183684185
2022-05-19,41.0,0.22149695507749237
2022-05-20,38.0,0.22748455049939983
2022-05-23,35.0,0.2308236334412464
2022-05-24,36.0,0.23424498177801187
2022-05-25,33.0,0.23501941468582124
2022-05-26,33.0,0.23369747823812453
2022-05-27,34.0,0.2261288754739275
2022-05-30,35.0,0.22384338030118647
2022-05-31,33.0,0.23452844950579285
2022-06-02,30.0,0.24239447336046657
2022-06-03,30.0,0.24248193958184594
2022-06-07,32.0,0.22798144686669466
2022-06-08,29.0,0.22457641472766887
2022-06-09,29.0,0.19113386744429312
2022-06-10,27.0,0.18923882202247322
2022-06-13,93.0,0.1915350301725389
2022-06-14,89.0,0.2546606759455132
2022-06-15,87.0,0.25185670550793543
2022-06-16,74.0,0.24791301374168379
2022-06-17,62.0,0.26765588264605034
2022-06-20,69.0,0.2748702303896881
2022-06-21,59.0,0.2747447432341238
2022-06-22,55.0,0.2732602427118574
2022-06-23,47.0,0.2727339346515388
2022-06-24,44.0,0.27762921425117787
2022-06-27,42.0,0.2777843020876793
2022-06-28,40.0,0.2777916943610715
2022-06-29,40.0,0.2782448935980665
2022-06-30,49.0,0.26831431350946267
2022-07-01,47.0,0.2685339186296618
2022-07-04,41.0,0.2605759043779555
2022-07-05,42.0,0.26464723604435525
2022-07-06,39.0,0.26464383132337693
2022-07-07,38.0,0.2609934990915675
2022-07-08,38.0,0.265940355702024
2022-07-11,36.0,0.2642821186805381
2022-07-12,36.0,0.26668900996092076
2022-07-13,36.0,0.2610842566129365
2022-07-14,34.0,0.20350596332566137
2022-07-15,32.0,0.20392047126693952
2022-07-18,37.0,0.17785672621986415
2022-07-19,37.0,0.18110978059561633
2022-07-20,40.0,0.16720335700652675
2022-07-21,42.0,0.16736139577353293
2022-07-22,35.0,0.16728806753159411
2022-07-25,30.0,0.1551913757582631
2022-07-26,33.0,0.16528124455737522
2022-07-27,30.0,0.16385669392354088
2022-07-28,31.0,0.18004729867510672
2022-07-29,30.0,0.18287269721186358
2022-08-01,92.0,0.18003288889234795
2022-08-02,87.0,0.18003673888719526
2022-08-03,89.0,0.18052693929558034
2022-08-04,85.0,0.174540216413947
2022-08-05,82.0,0.17481239599397835
2022-08-08,85.0,0.16969858981095737
2022-08-09,84.0,0.17186707886154495
2022-08-10,82.0,0.17054033907736615
2022-08-11,88.0,0.1683727512244463
2022-08-12,80.0,0.1650466691122176
2022-08-16,76.0,0.1573338342550484
2022-08-17,79.0,0.15630712509719447
2022-08-18,73.0,0.135360228078499
2022-08-19,100.0,0.13014830955902656
2022-08-22,83.0,0.1684976232091346
2022-08-23,79.0,0.16829077404497655
2022-08-24,70.0,0.16828795522024612
2022-08-25,75.0,0.15795089423225278
2022-08-26,77.0,0.15827587097989762
2022-08-29,89.0,0.15067493613705324
2022-08-30,83.0,0.1550730387421953
2022-08-31,76.0,0.15644889153302707
2022-09-01,79.0,0.1569658942706139
2022-09-02,71.0,0.15642067058549083
2022-09-05,72.0,0.15365588126970883
2022-09-06,79.0,0.15326326088342565
2022-09-07,87.0,0.16121195455174117
2022-09-08,75.0,0.16081164539741158
2022-09-13,87.0,0.18638689667567657
2022-09-14,82.0,0.21357097842079623
2022-09-15,79.0,0.21339245954161945
2022-09-16,81.0,0.2148116158372862
2022-09-19,96.0,0.18905034361550352
2022-09-20,84.0,0.18859522048298583
2022-09-21,86.0,0.19093360400465503
2022-09-22,81.0,0.19189302390011467
2022-09-23,84.0,0.19762615791443308
2022-09-26,78.0,0.18726918370018777
2022-09-27,79.0,0.18830837266086722
2022-09-28,80.0,0.1868127999174085
2022-09-29,73.0,0.18440005148012778
2022-09-30,72.0,0.1827553805218946
2022-10-04,69.0,0.18524503958541808
2022-10-05,68.0,0.1884468896147109
2022-10-06,66.0,0.1883625232846788
2022-10-07,68.0,0.18164458453418839
2022-10-11,68.0,0.1505762226631486
2022-10-12,63.0,0.15053504041489815
2022-10-13,72.0,0.14818489252761557
2022-10-14,69.0,0.10581009871689256
2022-10-17,62.0,0.10360777465456307
2022-10-18,63.0,0.10327571793268384
2022-10-19,65.0,0.09753567501729535
2022-10-20,63.0,0.09790254378966474
2022-10-21,60.0,0.09172471742587958
2022-10-24,62.0,0.0781200316770245
2022-10-25,65.0,0.07684826430207076
2022-10-26,72.0,0.08577500550383951
2022-10-27,67.0,0.08915769630816513
